profile,mode,phase,layer,path,component,count,total_ms,mean_ms,median_ms,p90_ms,p99_ms,min_ms,max_ms
full_fp_eager_layer,full_fp,decode,20,fp,mlp,31,63.23068809509277,2.0396996159707346,2.0381760597229004,2.040287971496582,2.0761856555938722,2.034463882446289,2.0906240940093994
full_fp_eager_layer,full_fp,decode,20,fp,post_attn_norm,31,0.20857599982991815,0.006728258059029618,0.006719999946653843,0.006912000011652708,0.007187199871987104,0.0063680000603199005,0.0072639998979866505
full_fp_eager_layer,full_fp,decode,20,fp,total,31,80.4533109664917,2.5952680956932808,2.5938880443573,2.596895933151245,2.630351948738098,2.5890560150146484,2.6445119380950928
full_fp_eager_layer,full_fp,decode,21,fp,attention,31,16.5906879901886,0.5351834835544709,0.5353919863700867,0.5364800095558167,0.5372128009796142,0.5315520167350769,0.5374720096588135
full_fp_eager_layer,full_fp,decode,21,fp,input_norm,31,0.22566399862989783,0.007279483826770898,0.00723200011998415,0.007584000006318092,0.007756800064817071,0.007071999832987785,0.0077760000713169575
full_fp_eager_layer,full_fp,decode,21,fp,mlp,31,63.10579180717468,2.0356707034572477,2.035583972930908,2.037856101989746,2.039193534851074,2.0314879417419434,2.0397119522094727
full_fp_eager_layer,full_fp,decode,21,fp,post_attn_norm,31,0.20985599933192134,0.00676954836554585,0.006719999946653843,0.006976000033318996,0.007139200018718839,0.006560000125318766,0.0071680000983178616
full_fp_eager_layer,full_fp,decode,21,fp,total,31,80.28128027915955,2.589718718682566,2.589951992034912,2.5925440788269043,2.5936736345291136,2.5852479934692383,2.5938560962677
full_fp_eager_layer,full_fp,decode,22,fp,attention,31,16.552224040031433,0.5339427109687559,0.5339840054512024,0.5346879959106445,0.5353119850158692,0.5319039821624756,0.5353599786758423
full_fp_eager_layer,full_fp,decode,22,fp,input_norm,31,0.2269759993068874,0.007321806429254432,0.0072639998979866505,0.007648000027984381,0.0077760000713169575,0.007071999832987785,0.0077760000713169575
full_fp_eager_layer,full_fp,decode,22,fp,mlp,31,63.073856592178345,2.0346405352315595,2.0347840785980225,2.036992073059082,2.038806343078613,2.0284481048583984,2.0390079021453857
full_fp_eager_layer,full_fp,decode,22,fp,post_attn_norm,31,0.21196800097823143,0.006837677450910691,0.006752000190317631,0.007199999876320362,0.00735040009021759,0.006591999903321266,0.007360000163316727
full_fp_eager_layer,full_fp,decode,22,fp,total,31,80.21411180496216,2.587551993708457,2.5876479148864746,2.5902719497680664,2.5925184011459352,2.5825281143188477,2.5927679538726807
full_fp_eager_layer,full_fp,decode,23,fp,attention,31,16.610015988349915,0.5358069673661263,0.5357440114021301,0.5370879769325256,0.5383328080177308,0.5335360169410706,0.5386880040168762
full_fp_eager_layer,full_fp,decode,23,fp,input_norm,31,0.22534399991855025,0.0072691612876951694,0.00723200011998415,0.007712000049650669,0.00782080008648336,0.006943999789655209,0.007840000092983246
full_fp_eager_layer,full_fp,decode,23,fp,mlp,31,63.23590397834778,2.039867870269283,2.0398080348968506,2.0422720909118652,2.043516826629639,2.035871982574463,2.043776035308838
full_fp_eager_layer,full_fp,decode,23,fp,post_attn_norm,31,0.21004800032824278,0.006775741946072348,0.006719999946653843,0.007135999854654074,0.007190399942919612,0.006496000103652477,0.007199999876320362
full_fp_eager_layer,full_fp,decode,23,fp,total,31,80.43100762367249,2.594548633021693,2.5950400829315186,2.5970559120178223,2.598633599281311,2.588063955307007,2.5992000102996826
full_fp_eager_layer,full_fp,decode,24,fp,attention,31,16.59081596136093,0.5351876116568043,0.5353919863700867,0.5368959903717041,0.5373407959938049,0.5331199765205383,0.5374079942703247
full_fp_eager_layer,full_fp,decode,24,fp,input_norm,31,0.22537599969655275,0.007270193538598476,0.00723200011998415,0.007391999941319227,0.007907199952751399,0.007040000054985285,0.007935999892652035
full_fp_eager_layer,full_fp,decode,24,fp,mlp,31,63.26188826560974,2.040706073084185,2.0354559421539307,2.0380160808563232,2.1145472049713137,2.0329599380493164,2.1146240234375
full_fp_eager_layer,full_fp,decode,24,fp,post_attn_norm,31,0.208576001226902,0.006728258104093613,0.006719999946653843,0.00684799998998642,0.007129600085318088,0.0063680000603199005,0.0071680000983178616
