profile,source,request_index,step_index,phase,wall_ms,emitted_tokens,finished
static_ptq_tail_cudagraph,baseline,3,8,decode,38.010381,1,False
static_ptq_tail_cudagraph,baseline,3,9,decode,38.028364,1,False
static_ptq_tail_cudagraph,baseline,3,10,decode,37.970478,1,False
static_ptq_tail_cudagraph,baseline,3,11,decode,38.008205,1,False
static_ptq_tail_cudagraph,baseline,3,12,decode,37.993389,1,False
static_ptq_tail_cudagraph,baseline,3,13,decode,38.010637,1,False
static_ptq_tail_cudagraph,baseline,3,14,decode,38.027917,1,False
static_ptq_tail_cudagraph,baseline,3,15,decode,38.007853,1,False
static_ptq_tail_cudagraph,baseline,3,16,decode,38.074058,1,False
static_ptq_tail_cudagraph,baseline,3,17,decode,37.944879,1,False
static_ptq_tail_cudagraph,baseline,3,18,decode,38.009197,1,False
static_ptq_tail_cudagraph,baseline,3,19,decode,38.07713,1,False
static_ptq_tail_cudagraph,baseline,3,20,decode,37.966766,1,False
static_ptq_tail_cudagraph,baseline,3,21,decode,38.025196,1,False
static_ptq_tail_cudagraph,baseline,3,22,decode,38.020653,1,False
static_ptq_tail_cudagraph,baseline,3,23,decode,38.012557,1,False
static_ptq_tail_cudagraph,baseline,3,24,decode,38.023468,1,False
static_ptq_tail_cudagraph,baseline,3,25,decode,38.010413,1,False
static_ptq_tail_cudagraph,baseline,3,26,decode,38.033868,1,False
static_ptq_tail_cudagraph,baseline,3,27,decode,38.025772,1,False
static_ptq_tail_cudagraph,baseline,3,28,decode,38.020108,1,False
static_ptq_tail_cudagraph,baseline,3,29,decode,38.035596,1,False
static_ptq_tail_cudagraph,baseline,3,30,decode,38.030062,1,False
static_ptq_tail_cudagraph,baseline,3,31,decode,37.988304,1,False
static_ptq_tail_cudagraph,baseline,3,32,decode,38.104972,1,True
static_ptq_tail_cudagraph,baseline,4,0,prefill,40.94903,0,False
static_ptq_tail_cudagraph,baseline,4,1,decode,73.179043,1,False
static_ptq_tail_cudagraph,baseline,4,2,decode,37.837909,1,False
static_ptq_tail_cudagraph,baseline,4,3,decode,37.977265,1,False
static_ptq_tail_cudagraph,baseline,4,4,decode,38.033102,1,False
static_ptq_tail_cudagraph,baseline,4,5,decode,37.982959,1,False
static_ptq_tail_cudagraph,baseline,4,6,decode,38.011279,1,False
static_ptq_tail_cudagraph,baseline,4,7,decode,37.996911,1,False
static_ptq_tail_cudagraph,baseline,4,8,decode,37.975472,1,False
static_ptq_tail_cudagraph,baseline,4,9,decode,38.026798,1,False
static_ptq_tail_cudagraph,baseline,4,10,decode,38.011535,1,False
static_ptq_tail_cudagraph,baseline,4,11,decode,38.004271,1,False
static_ptq_tail_cudagraph,baseline,4,12,decode,38.032686,1,False
static_ptq_tail_cudagraph,baseline,4,13,decode,37.988591,1,False
static_ptq_tail_cudagraph,baseline,4,14,decode,38.051885,1,False
static_ptq_tail_cudagraph,baseline,4,15,decode,38.017071,1,False
static_ptq_tail_cudagraph,baseline,4,16,decode,38.001967,1,False
static_ptq_tail_cudagraph,baseline,4,17,decode,38.04635,1,False
static_ptq_tail_cudagraph,baseline,4,18,decode,37.987632,1,False
static_ptq_tail_cudagraph,baseline,4,19,decode,38.01675,1,False
static_ptq_tail_cudagraph,baseline,4,20,decode,38.031182,1,False
static_ptq_tail_cudagraph,baseline,4,21,decode,38.006351,1,False
static_ptq_tail_cudagraph,baseline,4,22,decode,38.050511,1,False
static_ptq_tail_cudagraph,baseline,4,23,decode,38.028816,1,False
static_ptq_tail_cudagraph,baseline,4,24,decode,38.198346,1,False
static_ptq_tail_cudagraph,baseline,4,25,decode,38.143692,1,False
static_ptq_tail_cudagraph,baseline,4,26,decode,37.947859,1,False
static_ptq_tail_cudagraph,baseline,4,27,decode,37.944851,1,False
static_ptq_tail_cudagraph,baseline,4,28,decode,38.00101,1,False
static_ptq_tail_cudagraph,baseline,4,29,decode,38.016561,1,False
static_ptq_tail_cudagraph,baseline,4,30,decode,38.077774,1,False
static_ptq_tail_cudagraph,baseline,4,31,decode,37.945683,1,False
static_ptq_tail_cudagraph,baseline,4,32,decode,38.060815,1,True
static_ptq_tail_cudagraph,profiled,0,0,prefill,39.365632,0,False
static_ptq_tail_cudagraph,profiled,0,1,decode,75.10909,1,False
static_ptq_tail_cudagraph,profiled,0,2,decode,37.819736,1,False
static_ptq_tail_cudagraph,profiled,0,3,decode,38.021584,1,False
