profile,source,request_index,token_index,arrival_ms,inter_token_ms,token_id
full_fp_cudagraph,baseline,4,11,992.875965,87.71803,279
full_fp_cudagraph,baseline,4,12,1080.668077,87.79211200000009,15140
full_fp_cudagraph,baseline,4,13,1168.47011,87.80203299999994,6964
full_fp_cudagraph,baseline,4,14,1256.290414,87.82030400000008,13
full_fp_cudagraph,baseline,4,15,1344.114111,87.82369700000004,578
full_fp_cudagraph,baseline,4,16,1431.967921,87.85380999999984,4062
full_fp_cudagraph,baseline,4,17,1519.730784,87.76286300000015,14198
full_fp_cudagraph,baseline,4,18,1607.573137,87.842353,39935
full_fp_cudagraph,baseline,4,19,1695.401986,87.82884899999999,35308
full_fp_cudagraph,baseline,4,20,1783.229011,87.82702499999982,927
full_fp_cudagraph,baseline,4,21,1871.022051,87.79304000000002,279
full_fp_cudagraph,baseline,4,22,1958.8365,87.81444899999997,16053
full_fp_cudagraph,baseline,4,23,2046.686661,87.85016100000007,5679
full_fp_cudagraph,baseline,4,24,2136.53722,89.8505590000002,3221
full_fp_cudagraph,baseline,4,25,2224.474167,87.93694699999969,279
full_fp_cudagraph,baseline,4,26,2312.131972,87.65780500000028,15140
full_fp_cudagraph,baseline,4,27,2399.943092,87.81111999999985,6964
full_fp_cudagraph,baseline,4,28,2487.850919,87.907827,13
full_fp_cudagraph,baseline,4,29,2575.632374,87.78145499999982,578
full_fp_cudagraph,baseline,4,30,2663.938354,88.30598000000009,4062
full_fp_cudagraph,baseline,4,31,2752.249934,88.31158000000005,14198
full_fp_cudagraph,baseline,4,32,2841.162999,88.91306500000019,39935
full_fp_cudagraph,profiled,0,1,116.084437,,578
full_fp_cudagraph,profiled,0,2,203.782754,87.69831700000002,4062
full_fp_cudagraph,profiled,0,3,291.579538,87.796784,14198
full_fp_cudagraph,profiled,0,4,379.433027,87.85348899999997,39935
full_fp_cudagraph,profiled,0,5,467.260938,87.82791100000003,35308
full_fp_cudagraph,profiled,0,6,555.04494,87.78400199999999,927
full_fp_cudagraph,profiled,0,7,642.92299,87.87805000000003,279
full_fp_cudagraph,profiled,0,8,730.784591,87.86160099999995,16053
full_fp_cudagraph,profiled,0,9,818.541234,87.75664300000005,5679
full_fp_cudagraph,profiled,0,10,906.38082,87.83958599999994,3221
full_fp_cudagraph,profiled,0,11,994.205109,87.82428900000002,279
full_fp_cudagraph,profiled,0,12,1082.042199,87.83708999999999,15140
full_fp_cudagraph,profiled,0,13,1169.846393,87.80419400000005,6964
full_fp_cudagraph,profiled,0,14,1257.672769,87.82637599999998,13
full_fp_cudagraph,profiled,0,15,1345.494278,87.82150899999988,578
full_fp_cudagraph,profiled,0,16,1433.438293,87.94401500000004,4062
full_fp_cudagraph,profiled,0,17,1521.143374,87.70508100000006,14198
full_fp_cudagraph,profiled,0,18,1608.963602,87.82022800000004,39935
full_fp_cudagraph,profiled,0,19,1696.797717,87.83411499999988,35308
full_fp_cudagraph,profiled,0,20,1784.576385,87.77866800000015,927
full_fp_cudagraph,profiled,0,21,1872.393862,87.81747699999983,279
full_fp_cudagraph,profiled,0,22,1960.221001,87.82713899999999,16053
full_fp_cudagraph,profiled,0,23,2048.107522,87.8865209999999,5679
full_fp_cudagraph,profiled,0,24,2135.900588,87.79306600000018,3221
full_fp_cudagraph,profiled,0,25,2224.34596,88.44537200000013,279
full_fp_cudagraph,profiled,0,26,2312.227871,87.88191099999995,15140
full_fp_cudagraph,profiled,0,27,2399.957583,87.72971199999984,6964
full_fp_cudagraph,profiled,0,28,2487.6362,87.67861700000003,13
full_fp_cudagraph,profiled,0,29,2575.455465,87.81926500000009,578
full_fp_cudagraph,profiled,0,30,2663.416882,87.96141699999998,4062
full_fp_cudagraph,profiled,0,31,2751.115848,87.69896599999993,14198
full_fp_cudagraph,profiled,0,32,2839.026425,87.9105770000001,39935
static_ptq_tail_cudagraph,baseline,0,1,115.403578,,578
static_ptq_tail_cudagraph,baseline,0,2,153.077579,37.67400099999999,4062
static_ptq_tail_cudagraph,baseline,0,3,191.063312,37.98573300000001,14198
static_ptq_tail_cudagraph,baseline,0,4,229.044374,37.98106200000001,39935
static_ptq_tail_cudagraph,baseline,0,5,267.068219,38.023844999999994,35308
static_ptq_tail_cudagraph,baseline,0,6,305.103647,38.035428000000024,927
static_ptq_tail_cudagraph,baseline,0,7,343.11018,38.00653299999999,279
static_ptq_tail_cudagraph,baseline,0,8,381.112521,38.002341,16053
static_ptq_tail_cudagraph,baseline,0,9,419.122445,38.00992400000001,5679
static_ptq_tail_cudagraph,baseline,0,10,457.124307,38.00186199999996,3221
static_ptq_tail_cudagraph,baseline,0,11,495.161174,38.03686700000003,279
static_ptq_tail_cudagraph,baseline,0,12,533.239609,38.078434999999956,15140
static_ptq_tail_cudagraph,baseline,0,13,571.209311,37.969701999999984,6964
static_ptq_tail_cudagraph,baseline,0,14,609.272034,38.062723000000005,13
static_ptq_tail_cudagraph,baseline,0,15,647.251976,37.97994200000005,578
static_ptq_tail_cudagraph,baseline,0,16,685.28782,38.035844,4062
static_ptq_tail_cudagraph,baseline,0,17,723.283217,37.995397000000025,14198
static_ptq_tail_cudagraph,baseline,0,18,761.305526,38.02230899999995,39935
static_ptq_tail_cudagraph,baseline,0,19,799.380952,38.07542599999999,35308
static_ptq_tail_cudagraph,baseline,0,20,837.406236,38.025284000000056,927
static_ptq_tail_cudagraph,baseline,0,21,875.429217,38.02298099999996,279
static_ptq_tail_cudagraph,baseline,0,22,913.450149,38.020932000000016,16053
static_ptq_tail_cudagraph,baseline,0,23,951.480905,38.030756,5679
static_ptq_tail_cudagraph,baseline,0,24,989.531821,38.05091600000003,3221
static_ptq_tail_cudagraph,baseline,0,25,1027.583184,38.05136300000004,279
static_ptq_tail_cudagraph,baseline,0,26,1065.654131,38.07094699999993,15140
static_ptq_tail_cudagraph,baseline,0,27,1103.670426,38.0162949999999,6964
